,id,name,images
81,21R50WhyQI5HxWOTr6MyY1,Cary Brothers,https://i.scdn.co/image/ab67616100005174108e8d960fe28c4864f92774
82,7hbH1qupmU6HxVBjWJItlq,Dave Barnes,https://i.scdn.co/image/ab676161000051744f8473601db2ba9284c5f69e
83,5FGlhIQqewJRV8fx24toG0,Masaharu Fukuyama,https://i.scdn.co/image/ab67616100005174797adf8c6d59597851df938f
84,6QFuGrftxjfONIARygYHIe,Trent Dabbs,https://i.scdn.co/image/ab676161000051747f0cbfc77c931eff30219377
85,3Ivps5evkCqTJp50aqXTlu,Denis Turbide,https://i.scdn.co/image/ab676161000051744a33c6d1152954459aaec663
86,7tNLRmiAN8hpmFrbIHiHsy,Patty Griffin,https://i.scdn.co/image/ab67616100005174524e0137afffe4d2ad09bd76
87,7g0xtrm9c9KAaBTwvrTTmZ,Fay Wolf,https://i.scdn.co/image/ab67616100005174686ff88b4c91809d690e1c1d
88,6lb32Pf1I52GnEfnDlu9FR,Kate Havnevik,https://i.scdn.co/image/ab6761610000517470207ddf3131c6f799c44e93
89,22ArEmZwehawCU5ldp6A5W,Lucy Shaw,https://i.scdn.co/image/ab67616100005174dda05e1e844259efc2444953
90,2gSskdDhLQCx3CQd6XKDhp,Bukka White,https://i.scdn.co/image/ab67616d00001e02b8f566c839aec04863be772a
91,7rN3Agir6FaZNfhf5V7mfN,John Frusciante,https://i.scdn.co/image/ab6772690000dd22f94dbd92408ba3c66cd598b9
92,1ADT5n2ddD6Pawz2Ufjik4,Roberto Diana,https://i.scdn.co/image/ab67616100005174cf6786cbb4b0c624471991dd
93,7lNFzeAXmSIKexINNgO6bu,YUZU,https://i.scdn.co/image/ab67616100005174f942a8461c91c4f2fa9d6538
94,5jbP6txZCMe5l7QLZ1pmJ3,Katie Herzig,https://i.scdn.co/image/ab676161000051741174f29522eeb79917ae53eb
95,7D5oTJSXSHf51auG0106CQ,Benjamin Francis Leftwich,https://i.scdn.co/image/ab67616100005174820cf7e3dbed55c5a6ce8d93
96,6iU0naWn1UgiTReoiXqPXI,Chuck Ragan,https://i.scdn.co/image/ab67616100005174b83af51a5039e828e95f96ba
97,7w0qj2HiAPIeUcoPogvOZ6,Rachael Yamagata,https://i.scdn.co/image/ab676161000051746399f9e30ae4b10f893507d2
98,4QGC11o7gQR7MBEJ5cUMSv,Mindy Smith,https://i.scdn.co/image/ab676161000051741060d2c28e5152fb8d4f3f96
99,3vFDvFtR8VKEITzDa2ddKe,Toto Sorioso,https://i.scdn.co/image/ab6761610000517429863055186e06b603c5b010
100,45DUUqLXUpSjzfmlSXrAEA,Lulu Panganiban,https://i.scdn.co/image/ab67616d00001e02c3b37ad31f3eb1384eb28a97
101,1syC76TS0O5Yx2sCNGbUZb,The Moon Loungers,https://i.scdn.co/image/ab676161000051745ebdbc07942b2fb167134431
102,73U1Zb71I5JwgC1qVqZ8NO,Mischief Brew,https://i.scdn.co/image/ab67616d00001e02223a69eb4463ad904fba26ca
103,25Q9si63JQHlQk12dMLZhb,Andy Salvanos,https://i.scdn.co/image/ab676161000051746d60eea0db71a878bfc85e32
104,0FC1LIeQXKib0jOwZqeIwT,Brett Dennen,https://i.scdn.co/image/ab676161000051744353d27614b23bae6b2aea0c
105,2xDl6RQqmmWdXGeKwKNpFl,John Standefer,https://i.scdn.co/image/ab676161000051747a5dd66c467087bb85274a72
106,15kzFPO1n6iK1GqFaTDDBo,Antoine Dufour,https://i.scdn.co/image/77bd42f93ff1a61573a99fcb374a6d5e760738d4
107,20psBGWkywYYvyJfDgcRjY,Chris Leo,https://i.scdn.co/image/ab67616d00001e027702528a87398e6a56ba8a2d
108,61YE3whKiuRr83j1yOm5M7,Augustana,https://i.scdn.co/image/ab676161000051742197138c03de788c9912bb4f
109,73pBfiuzMCcn2UGQTCH98u,Moon Bandits,https://i.scdn.co/image/ab676161000051747b7bf5c3399480b51d3ed9c8
110,7aExFIr0IHWO5aFjMrGwKw,Charley Patton,https://i.scdn.co/image/fa05d9252dd26803f236f13e9801d6fcc7fead25
111,4M5nCE77Qaxayuhp3fVn4V,Iron & Wine,https://i.scdn.co/image/ab67616100005174d658bc80540e6d8944109166
112,2naDLHeKqXSHT3DMII2eqb,Bo Carter,https://i.scdn.co/image/ab67616d00001e02dc290df1ba0d91f80a04cbbb
